repo,path,bucket,bytes,lines,tokens_4,tokens_35
pi,packages/ai/test/abort.test.ts,test,10179,304,2545,2908
pi,packages/ai/test/anthropic-adaptive-thinking-models.test.ts,test,1195,30,299,341
pi,packages/ai/test/anthropic-cache-write-1h-cost.test.ts,test,3374,86,844,964
pi,packages/ai/test/anthropic-eager-tool-input-compat.test.ts,test,4113,122,1028,1175
pi,packages/ai/test/anthropic-eager-tool-input-e2e.test.ts,test,5042,156,1260,1441
pi,packages/ai/test/anthropic-empty-thinking-signature-compat.test.ts,test,2879,88,720,823
pi,packages/ai/test/anthropic-force-adaptive-thinking.test.ts,test,3674,110,918,1050
pi,packages/ai/test/anthropic-long-cache-retention-e2e.test.ts,test,4083,128,1021,1167
pi,packages/ai/test/anthropic-oauth.test.ts,test,3191,99,798,912
pi,packages/ai/test/anthropic-opus-4-8-smoke.test.ts,test,2512,72,628,718
pi,packages/ai/test/anthropic-sse-parsing.test.ts,test,6505,247,1626,1859
pi,packages/ai/test/anthropic-temperature-compat.test.ts,test,3046,104,762,870
pi,packages/ai/test/anthropic-thinking-disable.test.ts,test,5212,166,1303,1489
pi,packages/ai/test/anthropic-tool-name-normalization.test.ts,test,6557,205,1639,1873
pi,packages/ai/test/azure-openai-base-url.test.ts,test,6224,165,1556,1778
pi,packages/ai/test/azure-utils.ts,test,950,28,238,271
pi,packages/ai/test/base-entrypoint.test.ts,test,2754,68,688,787
pi,packages/ai/test/bedrock-convert-messages.test.ts,test,7482,245,1870,2138
pi,packages/ai/test/bedrock-custom-headers.test.ts,test,6818,202,1704,1947
pi,packages/ai/test/bedrock-endpoint-resolution.test.ts,test,6132,184,1533,1752
pi,packages/ai/test/bedrock-models.test.ts,test,2633,66,658,752
pi,packages/ai/test/bedrock-thinking-payload.test.ts,test,8673,236,2168,2478
pi,packages/ai/test/bedrock-utils.ts,test,552,18,138,158
pi,packages/ai/test/cache-retention.test.ts,test,14681,499,3670,4195
